source,house_is,property_subtype,price,postcode,area,rooms_number,equipped_kitchen_has,garden,garden_area,terrace,terrace_area,furnished,swimming_pool_has,land_surface,basement,building_state_agg,open_fire,longitude,latitude,coeff,price_area,fire,pool,furnish,kitchen,status
8901695,TRUE,MIXED_USE_BUILDING,295000,4180,242,3,True,True,1000,True,36,False,False,1403,1403,GOOD,False,5.5653937,50.4547747,8,501.4047979252,0,0,0,5000,0
8775843,TRUE,APARTMENT_BLOCK,250000,4020,303,5,True,False,0,False,0,False,False,760,760,TO_RENOVATE,False,5.5844371,50.6393579,4,681.3387423935,0,0,0,5000,-90900
8910441,TRUE,HOUSE,545000,1200,235,4,True,False,0,False,0,True,False,63,63,JUST_RENOVATED,False,4.4081561,50.8435628,2,1724.2026266417,0,0,10000,5000,70500
8940340,TRUE,HOUSE,189000,4040,200,3,True,True,40,False,0,False,False,100,11,TO_RENOVATE,False,5.62054,50.6652162,2,903.7037037037,0,0,0,5000,-60000
8913667,TRUE,APARTMENT_BLOCK,650000,1150,200,4,True,True,150,True,4,False,False,301,301,GOOD,False,4.462067,50.8300906,4,2036.3062352013,0,0,0,5000,0
8693767,TRUE,MIXED_USE_BUILDING,89000,6870,180,3,True,False,0,False,0,False,False,96,96,TO_RENOVATE,False,5.3735549,50.0251602,2,605.2631578947,0,0,0,5000,-54000
8325945,TRUE,MIXED_USE_BUILDING,129000,4030,156,3,True,False,0,False,0,False,False,71,71,TO_RENOVATE,False,5.5948955,50.6206028,2,891.9060052219,0,0,0,5000,-46800
8627972,TRUE,APARTMENT_BLOCK,389000,9600,255,6,True,False,0,True,22,False,False,205,205,GOOD,False,3.6090657,50.7510563,2,1011.8577075099,0,0,0,5000,0
8734225,TRUE,APARTMENT_BLOCK,425000,4500,400,5,True,True,366,True,0,False,False,603,114,AS_NEW,False,5.2395919,50.5155558,4,280.2646944336,0,0,0,5000,240000
8730846,TRUE,EXCEPTIONAL_PROPERTY,425000,4500,400,5,True,True,366,True,0,False,False,603,114,AS_NEW,False,5.2395919,50.5155558,4,280.2646944336,0,0,0,5000,240000
8560612,TRUE,APARTMENT_BLOCK,1750000,1200,550,7,True,True,60,True,20,False,False,270,270,AS_NEW,False,4.4056511,50.8424704,4,2150.1915708812,0,0,0,5000,342000
8412149,TRUE,APARTMENT_BLOCK,198000,3270,210,3,True,False,0,False,0,False,False,119,119,TO_RENOVATE,False,4.9708492,50.9797144,2,949.9072356215,0,0,0,5000,-63000
8894232,TRUE,APARTMENT_BLOCK,349000,6760,118,1,True,False,0,False,0,False,False,63,63,TO_RENOVATE,False,5.5350887,49.5678586,2,2537.7926421405,0,0,0,5000,-35400
8860947,TRUE,MANSION,659000,8000,232,3,True,False,0,True,20,False,False,125,125,JUST_RENOVATED,True,3.2301366,51.2041614,2,1823.2114467409,5000,0,0,5000,75600
8941858,TRUE,APARTMENT_BLOCK,649000,1140,257,7,False,False,0,False,0,False,False,350,350,TO_RENOVATE,False,4.3968208,50.8748914,4,2107.6923076923,0,0,0,0,-77100
