source,house_is,property_subtype,price,postcode,area,rooms_number,equipped_kitchen_has,garden,garden_area,terrace,terrace_area,furnished,swimming_pool_has,land_surface,basement,building_state_agg,open_fire,longitude,latitude
8901695,TRUE,MIXED_USE_BUILDING,295000,4180,242,3,True,True,1000,True,36,False,False,1403,1403,GOOD,False,5.5653937,50.4547747
8775843,TRUE,APARTMENT_BLOCK,250000,4020,303,5,True,False,0,False,0,False,False,760,760,TO_RENOVATE,False,5.5844371,50.6393579
8910441,TRUE,HOUSE,545000,1200,235,4,True,False,0,False,0,True,False,63,63,JUST_RENOVATED,False,4.4081561,50.8435628
8940340,TRUE,HOUSE,189000,4040,200,3,True,True,40,False,0,False,False,100,11,TO_RENOVATE,False,5.62054,50.6652162
8913667,TRUE,APARTMENT_BLOCK,650000,1150,200,4,True,True,150,True,4,False,False,301,301,GOOD,False,4.462067,50.8300906
8693767,TRUE,MIXED_USE_BUILDING,89000,6870,180,3,True,False,0,False,0,False,False,96,96,TO_RENOVATE,False,5.3735549,50.0251602
8325945,TRUE,MIXED_USE_BUILDING,129000,4030,156,3,True,False,0,False,0,False,False,71,71,TO_RENOVATE,False,5.5948955,50.6206028
8627972,TRUE,APARTMENT_BLOCK,389000,9600,255,6,True,False,0,True,22,False,False,205,205,GOOD,False,3.6090657,50.7510563
8734225,TRUE,APARTMENT_BLOCK,425000,4500,400,5,True,True,366,True,0,False,False,603,114,AS_NEW,False,5.2395919,50.5155558
8730846,TRUE,EXCEPTIONAL_PROPERTY,425000,4500,400,5,True,True,366,True,0,False,False,603,114,AS_NEW,False,5.2395919,50.5155558
8560612,TRUE,APARTMENT_BLOCK,1750000,1200,550,7,True,True,60,True,20,False,False,270,270,AS_NEW,False,4.4056511,50.8424704
8412149,TRUE,APARTMENT_BLOCK,198000,3270,210,3,True,False,0,False,0,False,False,119,119,TO_RENOVATE,False,4.9708492,50.9797144
8894232,TRUE,APARTMENT_BLOCK,349000,6760,118,1,True,False,0,False,0,False,False,63,63,TO_RENOVATE,False,5.5350887,49.5678586
8860947,TRUE,MANSION,659000,8000,232,3,True,False,0,True,20,False,False,125,125,JUST_RENOVATED,True,3.2301366,51.2041614
8941858,TRUE,APARTMENT_BLOCK,649000,1140,257,7,False,False,0,False,0,False,False,350,350,TO_RENOVATE,False,4.3968208,50.8748914
8939722,TRUE,EXCEPTIONAL_PROPERTY,845000,6940,340,7,True,True,6500,False,0,False,False,7000,7000,GOOD,False,5.4289373,50.364758
8309310,TRUE,MIXED_USE_BUILDING,1395000,1000,568,3,True,False,0,False,0,False,False,196,196,JUST_RENOVATED,False,4.3808133,50.8451547
8157990,TRUE,MIXED_USE_BUILDING,2090000,1000,927,10,True,False,0,True,0,False,False,183,183,JUST_RENOVATED,False,4.3471632,50.8451968
7701433,TRUE,MIXED_USE_BUILDING,5200000,1000,2049,41,True,True,198,True,70,False,False,1988,1988,AS_NEW,False,4.3086779,50.8307402
7701432,TRUE,MIXED_USE_BUILDING,5200000,1070,2049,41,True,True,198,True,70,False,False,1988,1988,AS_NEW,False,4.3079787,50.8309193
8846741,TRUE,APARTMENT_BLOCK,749000,1090,350,8,True,True,138,True,37,False,False,235,235,AS_NEW,False,4.3338615,50.8680944
8842249,TRUE,MIXED_USE_BUILDING,199000,6980,400,4,True,True,158,True,9,False,False,279,13,GOOD,False,5.5795291,50.1863646
8780463,TRUE,APARTMENT_BLOCK,209000,6840,585,5,True,False,0,True,0,False,False,460,460,GOOD,False,5.4365567,49.84018
8596740,TRUE,APARTMENT_BLOCK,399000,9170,315,4,True,False,0,False,0,False,False,145,145,GOOD,False,4.1270598,51.2179363
8825960,TRUE,MANSION,649000,8000,259,4,True,False,0,False,0,False,False,216,216,GOOD,True,3.2293628,51.2000052
8722292,TRUE,APARTMENT_BLOCK,375000,4300,200,4,True,True,200,False,0,False,False,345,345,GOOD,False,5.2575002,50.6945126
8897134,TRUE,APARTMENT_BLOCK,250000,8370,226,4,True,False,0,True,8,False,False,97,20,JUST_RENOVATED,False,3.1272689,51.3139199
8857379,TRUE,MIXED_USE_BUILDING,550000,1150,245,3,True,False,0,True,12,False,False,186,186,AS_NEW,False,4.460963,50.8283821
8827074,TRUE,APARTMENT_BLOCK,225000,4500,380,6,True,True,2500,True,105,False,False,2897,2897,TO_RENOVATE,False,5.2225621,50.5181925
8765283,TRUE,MIXED_USE_BUILDING,189000,6000,170,2,True,False,0,False,0,False,False,80,80,GOOD,False,4.4504228,50.4179624
8662603,TRUE,MIXED_USE_BUILDING,199000,6180,300,3,True,False,0,True,20,False,False,318,318,GOOD,False,4.3818079,50.4548876
8811796,TRUE,HOUSE,209000,9170,114,2,True,False,0,False,0,False,False,70,16,TO_RENOVATE,False,4.0908572,51.2580579
8701671,TRUE,MIXED_USE_BUILDING,269000,4020,130,3,True,False,0,True,25,False,False,319,24,TO_RENOVATE,False,5.6042203,50.6430708
8863586,TRUE,MIXED_USE_BUILDING,300000,1300,275,3,True,True,700,True,0,False,False,802,802,TO_RENOVATE,False,4.5721581,50.6931854
8678079,TRUE,APARTMENT_BLOCK,445000,3270,352,2,True,False,0,False,0,False,False,510,510,GOOD,False,4.972461,50.9799797
8863587,TRUE,APARTMENT_BLOCK,1250000,1300,520,11,True,True,5500,True,0,True,True,5500,5500,JUST_RENOVATED,False,4.630591,50.6921213
8853410,TRUE,APARTMENT_BLOCK,1250000,1348,520,11,True,True,5200,True,0,True,True,5500,5500,JUST_RENOVATED,False,4.630591,50.6921213
8931007,TRUE,APARTMENT_BLOCK,300000,6230,370,4,True,False,0,True,0,False,False,800,800,GOOD,False,4.3713666,50.5074061
8937718,TRUE,MIXED_USE_BUILDING,399000,9550,519,5,False,False,0,True,0,False,False,986,986,,False,3.8901085,50.8385443
8893036,TRUE,HOUSE,125000,6600,0,3,True,False,0,True,0,False,False,110,110,TO_RENOVATE,False,5.7193661,50.0046922
8806196,TRUE,HOUSE,199000,3890,268,3,True,True,430,True,114,False,False,6,6,GOOD,False,5.2091264,50.7331651
8851992,TRUE,MIXED_USE_BUILDING,595000,4000,242,3,True,False,0,True,10,False,False,110,26,AS_NEW,False,5.5675991,50.644235
8016112,TRUE,EXCEPTIONAL_PROPERTY,850000,1702,367,4,True,True,9143,True,30,False,False,9143,9143,GOOD,False,4.2518792,50.8756428
8875398,TRUE,APARTMENT_BLOCK,385000,8450,237,5,True,False,0,False,0,False,False,205,205,GOOD,False,2.9638081,51.2456875
8659614,TRUE,HOUSE,665000,9000,177,3,True,False,0,True,0,False,False,330,330,GOOD,False,3.734111,51.0497342
8907019,TRUE,APARTMENT_BLOCK,218000,4920,85,2,True,False,0,True,8,False,False,250,250,AS_NEW,False,5.6783775,50.4681375
8949677,TRUE,MIXED_USE_BUILDING,499000,8470,0,4,False,False,0,False,0,False,False,1191,1191,GOOD,False,2.9456126,51.155142
8654053,TRUE,HOUSE,330000,8370,144,3,True,False,0,False,0,False,False,56,56,GOOD,False,3.1329607,51.3121555
8724242,TRUE,MIXED_USE_BUILDING,175000,4500,128,2,True,False,0,False,0,False,False,45,45,GOOD,False,5.2395957,50.516711
8653878,TRUE,APARTMENT_BLOCK,299000,6831,280,4,True,True,50,True,6,False,False,286,8,JUST_RENOVATED,False,5.0931133,49.8195023
8733131,TRUE,MIXED_USE_BUILDING,348000,9600,470,3,True,False,0,True,0,False,False,256,256,TO_RENOVATE,False,3.6005238,50.7442707
7370557,TRUE,HOUSE,390000,7700,180,4,True,False,0,True,100,False,False,0,180,JUST_RENOVATED,False,3.204878,50.7329063
8825863,TRUE,MIXED_USE_BUILDING,650000,9230,983,0,True,True,57,False,0,False,False,773,773,TO_RENOVATE,False,3.8844053,51.0065735
8787329,TRUE,APARTMENT_BLOCK,975000,9300,1262,6,True,False,0,True,16,False,False,1041,1041,,False,4.0328533,50.9342527
8787324,TRUE,MIXED_USE_BUILDING,975000,9300,1262,6,True,False,0,True,16,False,False,1041,1041,,False,4.0328533,50.9342527
8848012,TRUE,APARTMENT_BLOCK,1285000,3020,425,10,True,False,0,True,9,False,False,637,637,TO_RENOVATE,False,4.6751558,50.9083418
8816678,TRUE,MIXED_USE_BUILDING,1185000,1040,423,3,False,True,76,True,0,False,False,221,221,GOOD,False,4.3763841,50.8414405
8933279,TRUE,MIXED_USE_BUILDING,1275000,3900,204,4,True,False,0,False,0,False,False,40500,40500,GOOD,False,5.3776391,51.2039674
8948451,TRUE,MIXED_USE_BUILDING,1795000,1190,800,10,True,False,0,False,0,False,False,150,150,GOOD,False,4.3340431,50.8240606
8723329,TRUE,HOUSE,499000,8000,195,3,True,False,0,False,0,False,False,850,850,AS_NEW,True,3.2027834,51.2333617
8664756,TRUE,APARTMENT_BLOCK,600000,2830,0,0,True,False,0,False,0,False,False,295,295,GOOD,False,4.3566519,51.0601764
